RegionID,name,year,n
394913,"New York, NY",1/1/2019,2714
394913,"New York, NY",2/1/2019,2720
394913,"New York, NY",3/1/2019,2725
394913,"New York, NY",4/1/2019,2731
394913,"New York, NY",5/1/2019,2736
394913,"New York, NY",6/1/2019,2741
394913,"New York, NY",7/1/2019,2746
394913,"New York, NY",8/1/2019,2749
394913,"New York, NY",9/1/2019,2753
394913,"New York, NY",10/1/2019,2756
394913,"New York, NY",11/1/2019,2753
394913,"New York, NY",12/1/2019,2751
394913,"New York, NY",1/1/2020,2748
394913,"New York, NY",2/1/2020,2734
394913,"New York, NY",3/1/2020,2721
394913,"New York, NY",4/1/2020,2707
394913,"New York, NY",5/1/2020,2688
394913,"New York, NY",6/1/2020,2669
394913,"New York, NY",7/1/2020,2649
394913,"New York, NY",8/1/2020,2632
394913,"New York, NY",9/1/2020,2614
394913,"New York, NY",10/1/2020,2596
394913,"New York, NY",11/1/2020,2595
394913,"New York, NY",12/1/2020,2594
394913,"New York, NY",1/1/2021,2592
394913,"New York, NY",2/1/2021,2608
394913,"New York, NY",3/1/2021,2624
394913,"New York, NY",4/1/2021,2640
394913,"New York, NY",5/1/2021,2658
394913,"New York, NY",6/1/2021,2676
394913,"New York, NY",7/1/2021,2694
394913,"New York, NY",8/1/2021,2715
394913,"New York, NY",9/1/2021,2736
394913,"New York, NY",10/1/2021,2757
753899,"Los Angeles-Long Beach-Anaheim, CA",1/1/2019,2268
753899,"Los Angeles-Long Beach-Anaheim, CA",2/1/2019,2275
753899,"Los Angeles-Long Beach-Anaheim, CA",3/1/2019,2281
753899,"Los Angeles-Long Beach-Anaheim, CA",4/1/2019,2288
753899,"Los Angeles-Long Beach-Anaheim, CA",5/1/2019,2295
753899,"Los Angeles-Long Beach-Anaheim, CA",6/1/2019,2301
753899,"Los Angeles-Long Beach-Anaheim, CA",7/1/2019,2308
753899,"Los Angeles-Long Beach-Anaheim, CA",8/1/2019,2313
753899,"Los Angeles-Long Beach-Anaheim, CA",9/1/2019,2318
753899,"Los Angeles-Long Beach-Anaheim, CA",10/1/2019,2323
753899,"Los Angeles-Long Beach-Anaheim, CA",11/1/2019,2324
753899,"Los Angeles-Long Beach-Anaheim, CA",12/1/2019,2326
753899,"Los Angeles-Long Beach-Anaheim, CA",1/1/2020,2327
753899,"Los Angeles-Long Beach-Anaheim, CA",2/1/2020,2326
753899,"Los Angeles-Long Beach-Anaheim, CA",3/1/2020,2325
753899,"Los Angeles-Long Beach-Anaheim, CA",4/1/2020,2323
753899,"Los Angeles-Long Beach-Anaheim, CA",5/1/2020,2322
753899,"Los Angeles-Long Beach-Anaheim, CA",6/1/2020,2320
753899,"Los Angeles-Long Beach-Anaheim, CA",7/1/2020,2318
753899,"Los Angeles-Long Beach-Anaheim, CA",8/1/2020,2318
753899,"Los Angeles-Long Beach-Anaheim, CA",9/1/2020,2318
753899,"Los Angeles-Long Beach-Anaheim, CA",10/1/2020,2318
753899,"Los Angeles-Long Beach-Anaheim, CA",11/1/2020,2328
753899,"Los Angeles-Long Beach-Anaheim, CA",12/1/2020,2338
753899,"Los Angeles-Long Beach-Anaheim, CA",1/1/2021,2347
753899,"Los Angeles-Long Beach-Anaheim, CA",2/1/2021,2366
753899,"Los Angeles-Long Beach-Anaheim, CA",3/1/2021,2384
753899,"Los Angeles-Long Beach-Anaheim, CA",4/1/2021,2402
753899,"Los Angeles-Long Beach-Anaheim, CA",5/1/2021,2421
753899,"Los Angeles-Long Beach-Anaheim, CA",6/1/2021,2440
753899,"Los Angeles-Long Beach-Anaheim, CA",7/1/2021,2459
753899,"Los Angeles-Long Beach-Anaheim, CA",8/1/2021,2480
753899,"Los Angeles-Long Beach-Anaheim, CA",9/1/2021,2500
753899,"Los Angeles-Long Beach-Anaheim, CA",10/1/2021,2521
394463,"Chicago, IL",1/1/2019,1563
394463,"Chicago, IL",2/1/2019,1566
394463,"Chicago, IL",3/1/2019,1570
394463,"Chicago, IL",4/1/2019,1574
394463,"Chicago, IL",5/1/2019,1577
394463,"Chicago, IL",6/1/2019,1581
394463,"Chicago, IL",7/1/2019,1584
394463,"Chicago, IL",8/1/2019,1587
394463,"Chicago, IL",9/1/2019,1591
394463,"Chicago, IL",10/1/2019,1594
394463,"Chicago, IL",11/1/2019,1594
394463,"Chicago, IL",12/1/2019,1595
394463,"Chicago, IL",1/1/2020,1596
394463,"Chicago, IL",2/1/2020,1595
394463,"Chicago, IL",3/1/2020,1593
394463,"Chicago, IL",4/1/2020,1591
394463,"Chicago, IL",5/1/2020,1588
394463,"Chicago, IL",6/1/2020,1585
394463,"Chicago, IL",7/1/2020,1581
394463,"Chicago, IL",8/1/2020,1579
394463,"Chicago, IL",9/1/2020,1576
394463,"Chicago, IL",10/1/2020,1574
394463,"Chicago, IL",11/1/2020,1577
394463,"Chicago, IL",12/1/2020,1580
394463,"Chicago, IL",1/1/2021,1583
394463,"Chicago, IL",2/1/2021,1591
394463,"Chicago, IL",3/1/2021,1599
394463,"Chicago, IL",4/1/2021,1607
394463,"Chicago, IL",5/1/2021,1615
394463,"Chicago, IL",6/1/2021,1624
394463,"Chicago, IL",7/1/2021,1633
394463,"Chicago, IL",8/1/2021,1642
394463,"Chicago, IL",9/1/2021,1652
394463,"Chicago, IL",10/1/2021,1661
394514,"Dallas-Fort Worth, TX",1/1/2019,1381
394514,"Dallas-Fort Worth, TX",2/1/2019,1385
394514,"Dallas-Fort Worth, TX",3/1/2019,1389
394514,"Dallas-Fort Worth, TX",4/1/2019,1393
394514,"Dallas-Fort Worth, TX",5/1/2019,1397
394514,"Dallas-Fort Worth, TX",6/1/2019,1401
394514,"Dallas-Fort Worth, TX",7/1/2019,1405
394514,"Dallas-Fort Worth, TX",8/1/2019,1408
394514,"Dallas-Fort Worth, TX",9/1/2019,1411
394514,"Dallas-Fort Worth, TX",10/1/2019,1415
394514,"Dallas-Fort Worth, TX",11/1/2019,1416
394514,"Dallas-Fort Worth, TX",12/1/2019,1418
394514,"Dallas-Fort Worth, TX",1/1/2020,1420
394514,"Dallas-Fort Worth, TX",2/1/2020,1422
394514,"Dallas-Fort Worth, TX",3/1/2020,1423
394514,"Dallas-Fort Worth, TX",4/1/2020,1424
